v1,v2
ham,"Hey are we still meeting for lunch today?"
spam,"Congratulations! You have won a $500 gift card, call now!"
ham,"Please send me the project files."
spam,"URGENT! Your mobile number has won 100000 cash prize."
ham,"Can you pick up groceries on your way home?"
spam,"Limited time offer! Buy 1 get 1 free, hurry up!"
ham,"I will call you later tonight."
spam,"You have been selected for a free vacation, reply YES."
ham,"Don't forget about the meeting tomorrow at 10 AM."
spam,"Win a brand new car by clicking this link now!"
ham,"Happy birthday! Hope you have a wonderful day."
spam,"Claim your free reward points before they expire."
ham,"Can we reschedule our appointment?"
spam,"Act now! Lowest insurance rates guaranteed."
ham,"Thanks for your help yesterday."
spam,"Get cheap loans instantly with zero paperwork."
ham,"Let's catch up this weekend."
spam,"Your account has been compromised, verify immediately."
ham,"Did you complete the assignment?"
spam,"Exclusive deal just for you, shop now!"
ham,"I am running a bit late."
spam,"You have won tickets to Bahamas, text WIN to 12345."
ham,"Please check the attached document."
spam,"Free entry into our contest, call now!"
ham,"Are you coming to the party tonight?"
spam,"This is your last chance to claim the prize."
ham,"Meeting has been postponed to next week."
spam,"Double your income working from home, sign up today!"
ham,"Can you share the notes from class?"
spam,"Your SIM card will be blocked, update KYC now!"
ham,"Thank you for your quick response."
spam,"Lowest prices on medicines, order today!"
ham,"Let's go for a movie tomorrow."
spam,"You are pre-approved for a credit card, apply now!"
ham,"Please remind me about the event."
spam,"Free ringtone subscription activated, cancel now!"
ham,"I have sent the payment."
spam,"Win cash daily by participating in surveys!"
ham,"See you at the gym this evening."
spam,"Your loan is approved instantly, contact us!"
ham,"Can you help me with this problem?"
spam,"Special discount only for selected customers!"
ham,"Call me when you are free."
spam,"You have won a free smartphone, click here!"
ham,"Please update me about the status."
spam,"Claim your bonus reward before midnight!"
ham,"Let’s finalize the presentation tomorrow."
spam,"Get rich quick with this secret formula!"
